joker_a,joker_b,weight,shared_tags
8-Ball,Astronomer,1,planet
8-Ball,Constellation,1,planet
8-Ball,Satellite,1,planet
8-Ball,Showman,1,planet
Abstract Joker,Baseball Card,1,joker-synergy
Abstract Joker,Blueprint,1,joker-synergy
Abstract Joker,Bootstraps,1,+mult
Abstract Joker,Brainstorm,1,joker-synergy
Abstract Joker,Campfire,1,joker-synergy
Abstract Joker,Castle,1,joker-synergy
Abstract Joker,Crazy Joker,1,+mult
Abstract Joker,Droll Joker,1,+mult
Abstract Joker,Erosion,1,+mult
Abstract Joker,Even Steven,1,+mult
Abstract Joker,Fibonacci,1,+mult
Abstract Joker,Flash Card,1,+mult
Abstract Joker,Fortune Teller,1,+mult
Abstract Joker,Gift Card,1,joker-synergy
Abstract Joker,Gluttonous Joker,1,+mult
Abstract Joker,Greedy Joker,1,+mult
Abstract Joker,Green Joker,1,+mult
Abstract Joker,Gros Michel,1,+mult
Abstract Joker,Half Joker,1,+mult
Abstract Joker,Invisible Joker,1,joker-synergy
Abstract Joker,Joker,1,+mult
Abstract Joker,Joker Stencil,1,joker-synergy
Abstract Joker,Jolly Joker,1,+mult
Abstract Joker,Lusty Joker,1,+mult
Abstract Joker,Mad Joker,1,+mult
Abstract Joker,Madness,1,joker-synergy
Abstract Joker,Mystic Summit,1,+mult
Abstract Joker,Onyx Agate,1,+mult
Abstract Joker,Popcorn,1,+mult
Abstract Joker,Red Card,1,+mult
Abstract Joker,Ride the Bus,1,+mult
Abstract Joker,Riff-raff,1,joker-synergy
Abstract Joker,Scholar,1,+mult
Abstract Joker,Shoot the Moon,1,+mult
Abstract Joker,Showman,1,joker-synergy
Abstract Joker,Smiley Face,1,+mult
Abstract Joker,Spare Trousers,1,+mult
Abstract Joker,Steel Joker,1,joker-synergy
Abstract Joker,Stone Joker,1,joker-synergy
Abstract Joker,Swashbuckler,1,joker-synergy
Abstract Joker,Walkie Talkie,1,+mult
Abstract Joker,Wee Joker,1,joker-synergy
Abstract Joker,Wrathful Joker,1,+mult
Abstract Joker,Zany Joker,1,+mult
Acrobat,Ancient Joker,1,xmult
Acrobat,Baron,1,xmult
Acrobat,Baseball Card,1,xmult
Acrobat,Blackboard,1,xmult
Acrobat,Bloodstone,1,xmult
Acrobat,Campfire,1,xmult
Acrobat,Canio,1,xmult
Acrobat,Card Sharp,1,xmult
Acrobat,Cavendish,1,xmult
Acrobat,Constellation,1,xmult
Acrobat,DNA,1,hand-timing
Acrobat,Driver's License,1,xmult
Acrobat,Dusk,1,hand-timing
Acrobat,Flower Pot,1,xmult
Acrobat,Glass Joker,1,xmult
Acrobat,Hit the Road,1,xmult
Acrobat,Hologram,1,xmult
Acrobat,Joker Stencil,1,xmult
Acrobat,Loyalty Card,1,xmult
Acrobat,Lucky Cat,1,xmult
Acrobat,Madness,1,xmult
Acrobat,Obelisk,1,xmult
Acrobat,Photograph,1,xmult
Acrobat,Ramen,1,xmult
Acrobat,Seeing Double,1,xmult
Acrobat,Sixth Sense,1,hand-timing
Acrobat,Steel Joker,1,xmult
Acrobat,The Duo,1,xmult
Acrobat,The Family,1,xmult
Acrobat,The Idol,1,xmult
Acrobat,The Order,1,xmult
Acrobat,The Tribe,1,xmult
Acrobat,The Trio,1,xmult
Acrobat,Throwback,1,xmult
Acrobat,Triboulet,1,xmult
Acrobat,Vampire,1,xmult
Acrobat,Yorick,1,xmult
Ancient Joker,Baron,1,xmult
Ancient Joker,Baseball Card,1,xmult
Ancient Joker,Blackboard,1,xmult
Ancient Joker,Bloodstone,1,xmult
Ancient Joker,Campfire,1,xmult
Ancient Joker,Canio,1,xmult
Ancient Joker,Card Sharp,1,xmult
Ancient Joker,Cavendish,1,xmult
Ancient Joker,Constellation,1,xmult
Ancient Joker,Driver's License,1,xmult
Ancient Joker,Flower Pot,1,xmult
Ancient Joker,Glass Joker,1,xmult
Ancient Joker,Hit the Road,1,xmult
Ancient Joker,Hologram,1,xmult
Ancient Joker,Joker Stencil,1,xmult
Ancient Joker,Loyalty Card,1,xmult
Ancient Joker,Lucky Cat,1,xmult
Ancient Joker,Madness,1,xmult
Ancient Joker,Obelisk,1,xmult
Ancient Joker,Photograph,1,xmult
Ancient Joker,Ramen,1,xmult
Ancient Joker,Seeing Double,1,xmult
Ancient Joker,Steel Joker,1,xmult
Ancient Joker,The Duo,1,xmult
Ancient Joker,The Family,1,xmult
Ancient Joker,The Idol,1,xmult
Ancient Joker,The Order,1,xmult
Ancient Joker,The Tribe,1,xmult
Ancient Joker,The Trio,1,xmult
Ancient Joker,Throwback,1,xmult
Ancient Joker,Triboulet,1,xmult
Ancient Joker,Vampire,1,xmult
Ancient Joker,Yorick,1,xmult
Arrowhead,Banner,1,+chips
Arrowhead,Blackboard,1,suit:Spades
Arrowhead,Blue Joker,1,+chips
Arrowhead,Bull,1,+chips
Arrowhead,Castle,2,+chips|suit:Spades
Arrowhead,Clever Joker,1,+chips
Arrowhead,Crafty Joker,1,+chips
Arrowhead,Devious Joker,1,+chips
Arrowhead,Flower Pot,1,suit:Spades
Arrowhead,Hiker,1,+chips
Arrowhead,Ice Cream,1,+chips
Arrowhead,Odd Todd,1,+chips
Arrowhead,Runner,1,+chips
Arrowhead,Scary Face,1,+chips
Arrowhead,Scholar,1,+chips
Arrowhead,Sly Joker,1,+chips
Arrowhead,Smeared Joker,1,suit:Spades
Arrowhead,Square Joker,1,+chips
Arrowhead,Stone Joker,1,+chips
Arrowhead,Stuntman,1,+chips
Arrowhead,Walkie Talkie,1,+chips
Arrowhead,Wee Joker,1,+chips
Arrowhead,Wily Joker,1,+chips
Arrowhead,Wrathful Joker,1,suit:Spades
Astronomer,Chaos the Clown,1,shop
Astronomer,Constellation,1,planet
Astronomer,Flash Card,1,shop
Astronomer,Perkeo,1,shop
Astronomer,Satellite,1,planet
Astronomer,Showman,1,planet
Banner,Blue Joker,1,+chips
Banner,Bull,1,+chips
Banner,Burglar,1,discards
Banner,Burnt Joker,1,discards
Banner,Castle,2,+chips|discards
Banner,Clever Joker,1,+chips
Banner,Crafty Joker,1,+chips
Banner,Delayed Gratification,1,discards
Banner,Devious Joker,1,+chips
Banner,Drunkard,1,discards
Banner,Faceless Joker,1,discards
Banner,Green Joker,1,discards
Banner,Hiker,1,+chips
Banner,Hit the Road,1,discards
Banner,Ice Cream,1,+chips
Banner,Mail-In Rebate,1,discards
Banner,Merry Andy,1,discards
Banner,Mystic Summit,1,discards
Banner,Odd Todd,1,+chips
Banner,Ramen,1,discards
Banner,Runner,1,+chips
Banner,Scary Face,1,+chips
Banner,Scholar,1,+chips
Banner,Sly Joker,1,+chips
Banner,Square Joker,1,+chips
Banner,Stone Joker,1,+chips
Banner,Stuntman,1,+chips
Banner,Trading Card,1,discards
Banner,Walkie Talkie,1,+chips
Banner,Wee Joker,1,+chips
Banner,Wily Joker,1,+chips
Banner,Yorick,1,discards
Baron,Baseball Card,1,xmult
Baron,Blackboard,2,held-in-hand|xmult
Baron,Bloodstone,1,xmult
Baron,Business Card,1,face-cards
Baron,Campfire,1,xmult
Baron,Canio,2,face-cards|xmult
Baron,Card Sharp,1,xmult
Baron,Cavendish,1,xmult
Baron,Constellation,1,xmult
Baron,Driver's License,1,xmult
Baron,Faceless Joker,1,face-cards
Baron,Flower Pot,1,xmult
Baron,Glass Joker,1,xmult
Baron,Hit the Road,2,face-cards|xmult
Baron,Hologram,1,xmult
Baron,Joker Stencil,1,xmult
Baron,Loyalty Card,1,xmult
Baron,Lucky Cat,1,xmult
Baron,Madness,1,xmult
Baron,Midas Mask,1,face-cards
Baron,Mime,1,held-in-hand
Baron,Obelisk,1,xmult
Baron,Pareidolia,1,face-cards
Baron,Photograph,2,face-cards|xmult
Baron,Raised Fist,1,held-in-hand
Baron,Ramen,1,xmult
Baron,Reserved Parking,2,face-cards|held-in-hand
Baron,Ride the Bus,1,face-cards
Baron,Scary Face,1,face-cards
Baron,Seeing Double,1,xmult
Baron,Shoot the Moon,2,face-cards|held-in-hand
Baron,Smiley Face,1,face-cards
Baron,Sock and Buskin,1,face-cards
Baron,Steel Joker,1,xmult
Baron,The Duo,1,xmult
Baron,The Family,1,xmult
Baron,The Idol,1,xmult
Baron,The Order,1,xmult
Baron,The Tribe,1,xmult
Baron,The Trio,1,xmult
Baron,Throwback,1,xmult
Baron,Triboulet,2,face-cards|xmult
Baron,Vampire,1,xmult
Baron,Yorick,1,xmult
Baseball Card,Blackboard,1,xmult
Baseball Card,Bloodstone,1,xmult
Baseball Card,Blueprint,1,joker-synergy
Baseball Card,Brainstorm,1,joker-synergy
Baseball Card,Campfire,2,joker-synergy|xmult
Baseball Card,Canio,1,xmult
Baseball Card,Card Sharp,1,xmult
Baseball Card,Castle,1,joker-synergy
Baseball Card,Cavendish,1,xmult
Baseball Card,Constellation,1,xmult
Baseball Card,Driver's License,1,xmult
Baseball Card,Flower Pot,1,xmult
Baseball Card,Gift Card,1,joker-synergy
Baseball Card,Glass Joker,1,xmult
Baseball Card,Hit the Road,1,xmult
Baseball Card,Hologram,1,xmult
Baseball Card,Invisible Joker,1,joker-synergy
Baseball Card,Joker Stencil,2,joker-synergy|xmult
Baseball Card,Loyalty Card,1,xmult
Baseball Card,Lucky Cat,1,xmult
Baseball Card,Madness,2,joker-synergy|xmult
Baseball Card,Obelisk,1,xmult
Baseball Card,Photograph,1,xmult
Baseball Card,Ramen,1,xmult
Baseball Card,Riff-raff,1,joker-synergy
Baseball Card,Seeing Double,1,xmult
Baseball Card,Showman,1,joker-synergy
Baseball Card,Steel Joker,2,joker-synergy|xmult
Baseball Card,Stone Joker,1,joker-synergy
Baseball Card,Swashbuckler,1,joker-synergy
Baseball Card,The Duo,1,xmult
Baseball Card,The Family,1,xmult
Baseball Card,The Idol,1,xmult
Baseball Card,The Order,1,xmult
Baseball Card,The Tribe,1,xmult
Baseball Card,The Trio,1,xmult
Baseball Card,Throwback,1,xmult
Baseball Card,Triboulet,1,xmult
Baseball Card,Vampire,1,xmult
Baseball Card,Wee Joker,1,joker-synergy
Baseball Card,Yorick,1,xmult
Blackboard,Bloodstone,1,xmult
Blackboard,Campfire,1,xmult
Blackboard,Canio,1,xmult
Blackboard,Card Sharp,1,xmult
Blackboard,Castle,1,suit:Spades
Blackboard,Cavendish,1,xmult
Blackboard,Constellation,1,xmult
Blackboard,Driver's License,1,xmult
Blackboard,Flower Pot,3,suit:Clubs|suit:Spades|xmult
Blackboard,Glass Joker,1,xmult
Blackboard,Gluttonous Joker,1,suit:Clubs
Blackboard,Hit the Road,1,xmult
Blackboard,Hologram,1,xmult
Blackboard,Joker Stencil,1,xmult
Blackboard,Loyalty Card,1,xmult
Blackboard,Lucky Cat,1,xmult
Blackboard,Madness,1,xmult
Blackboard,Mime,1,held-in-hand
Blackboard,Obelisk,1,xmult
Blackboard,Onyx Agate,1,suit:Clubs
Blackboard,Photograph,1,xmult
Blackboard,Raised Fist,1,held-in-hand
Blackboard,Ramen,1,xmult
Blackboard,Reserved Parking,1,held-in-hand
Blackboard,Seeing Double,2,suit:Clubs|xmult
Blackboard,Shoot the Moon,1,held-in-hand
Blackboard,Smeared Joker,2,suit:Clubs|suit:Spades
Blackboard,Steel Joker,1,xmult
Blackboard,The Duo,1,xmult
Blackboard,The Family,1,xmult
Blackboard,The Idol,1,xmult
Blackboard,The Order,1,xmult
Blackboard,The Tribe,1,xmult
Blackboard,The Trio,1,xmult
Blackboard,Throwback,1,xmult
Blackboard,Triboulet,1,xmult
Blackboard,Vampire,1,xmult
Blackboard,Wrathful Joker,1,suit:Spades
Blackboard,Yorick,1,xmult
Bloodstone,Business Card,1,probability
Bloodstone,Campfire,1,xmult
Bloodstone,Canio,1,xmult
Bloodstone,Card Sharp,1,xmult
Bloodstone,Cavendish,2,probability|xmult
Bloodstone,Constellation,1,xmult
Bloodstone,Driver's License,1,xmult
Bloodstone,Flower Pot,2,suit:Hearts|xmult
Bloodstone,Glass Joker,1,xmult
Bloodstone,Gros Michel,1,probability
Bloodstone,Hallucination,1,probability
Bloodstone,Hit the Road,1,xmult
Bloodstone,Hologram,1,xmult
Bloodstone,Joker Stencil,1,xmult
Bloodstone,Loyalty Card,1,xmult
Bloodstone,Lucky Cat,1,xmult
Bloodstone,Lusty Joker,1,suit:Hearts
Bloodstone,Madness,1,xmult
Bloodstone,Obelisk,1,xmult
Bloodstone,Photograph,1,xmult
Bloodstone,Ramen,1,xmult
Bloodstone,Reserved Parking,1,probability
Bloodstone,Seeing Double,1,xmult
Bloodstone,Smeared Joker,1,suit:Hearts
Bloodstone,Space Joker,1,probability
Bloodstone,Steel Joker,1,xmult
Bloodstone,The Duo,1,xmult
Bloodstone,The Family,1,xmult
Bloodstone,The Idol,1,xmult
Bloodstone,The Order,1,xmult
Bloodstone,The Tribe,1,xmult
Bloodstone,The Trio,1,xmult
Bloodstone,Throwback,1,xmult
Bloodstone,Triboulet,1,xmult
Bloodstone,Vampire,1,xmult
