name,effect,min_ante,unlock,image
Boss,Rerolls the Boss Blind,Any,,Boss_tag.png
Buffoon,Gives a free Mega Buffoon Pack,2+,,Buffoon_tag.png
Charm,Gives a free Mega Arcana Pack,Any,,Charm_tag.png
Coupon,Initial cards and booster packs in next shop are free,Any,,Coupon_tag.png
D6,Rerolls in next shop start at $0,Any,,D6_tag.png
Double,"Gives a copy of the next selected Tag, Double Tag excluded",Any,,Double_tag.png
Economy,Doubles your money (Max of $40),Any,,Economy_tag.png
Ethereal,Gives a free Spectral Pack,2+,,Ethereal_tag.png
Foil,Next base edition shop Joker is free and becomes Foil,Any,Discover the Foil edition,Foil_tag.png
Garbage,Gives $1 per unused discard this run (Will give $0),2+,,Garbage_tag.png
Handy,Gives $1 per played hand this run (Will give $0),2+,,Handy_tag.png
Holographic,Next base edition shop Joker is free and becomes Holographic,Any,Discover the Holographic edition,Holographic_tag.png
Investment,Gain $25 after defeating the next Boss Blind.,Any,,Investment_tag.png
Juggle,+3 hand size next round,Any,,Juggle_tag.png
Meteor,Gives a free Mega Celestial Pack,2+,,Meteor_tag.png
Negative,Next base edition shop Joker is free and becomes Negative,2+,Discover the Negative edition,Negative_tag.png
Orbital,Upgrade [poker hand] by 3 levels,2+,,Orbital_tag.png
Polychrome,Next base edition shop Joker is free and becomes Polychrome,Any,Discover the Polychrome edition,Polychrome_tag.png
Rare,Shop has a free Rare Joker,Any,Discover Blueprint,Rare_tag.png
Speed,Gives $5 per skipped Blind this run (Will give $5),Any,,Speed_tag.png
Standard,Gives a free Mega Standard Pack,2+,,Standard_tag.png
Top-up,Create up to 2 Common Jokers (Must have room),2+,,Top-up_tag.png
Uncommon,Shop has a free Uncommon Joker,Any,,Uncommon_tag.png
Voucher,Adds one Voucher to the next shop,Any,,Voucher_tag.png
